rno,level,lose,name,point,profileIconId,tier,win,summonerName
2001,282,233,NULL,119,25,MASTER,260,이기고싶은뽀삐
2002,466,186,NULL,119,4779,MASTER,226,강아지아지
2003,184,194,NULL,119,3790,MASTER,226,rudco
2004,63,162,NULL,119,4541,MASTER,225,아름다운경치
2005,306,973,NULL,118,3152,MASTER,987,sbsupff
2006,247,220,NULL,118,4787,MASTER,216,살망
2007,50,78,NULL,118,4761,MASTER,158,FAPirean1
2008,203,111,NULL,118,1596,MASTER,138,서프라이즈데이
2009,253,410,NULL,117,4755,MASTER,416,magnetoz
2010,89,248,NULL,117,4661,MASTER,306,thenightalight
2011,149,851,NULL,116,23,MASTER,929,Markingtime
2012,322,802,NULL,116,3862,MASTER,826,IYl
2013,243,547,NULL,116,9,MASTER,581,Hos1n
2014,340,399,NULL,116,4560,MASTER,415,산신의기운
2015,125,271,NULL,116,4071,MASTER,305,어리바리몽키
2016,90,182,NULL,116,59,MASTER,266,수영갓
2017,322,246,NULL,115,4832,MASTER,266,Feiz
2018,123,170,NULL,115,4707,MASTER,221,MissOPLPlayer
2019,244,963,NULL,114,4555,MASTER,974,LagoonLounge
2020,97,462,NULL,114,4779,MASTER,536,keorb132
2021,198,1388,NULL,113,4555,MASTER,1394,Yubiyubi1
2022,361,919,NULL,113,4661,MASTER,939,후픽좀후픽좀후픽
2023,271,641,NULL,113,536,MASTER,683,전하준1
2024,293,568,NULL,113,4612,MASTER,577,뽀삐정글원챔
2025,66,213,NULL,113,23,MASTER,297,넘외롭다구요
2026,239,133,NULL,113,576,MASTER,169,빠켠
2027,398,146,NULL,113,3872,MASTER,160,제드
2028,145,116,NULL,113,4794,MASTER,145,LifeAfraid
2029,301,564,NULL,112,4653,MASTER,596,우류어마
2030,80,232,NULL,112,11,MASTER,293,Rootikim
2031,162,145,NULL,112,24,MASTER,184,Sh1eld
2032,197,107,NULL,112,4815,MASTER,146,덕포터
2033,178,913,NULL,111,23,MASTER,965,뽀삐의피지컬
2034,135,521,NULL,111,4073,MASTER,549,Fcbksf
2035,285,486,NULL,111,4794,MASTER,491,여굥
2036,60,154,NULL,111,6,MASTER,245,갓사딘원챔
2037,161,137,NULL,111,13,MASTER,237,누군지몰라도된다
2038,157,421,NULL,110,3791,MASTER,430,Eatoh
2039,67,141,NULL,110,29,MASTER,185,lIIIIlIIIlililiI
2040,186,133,NULL,110,1114,MASTER,160,아니R99
2041,172,62,NULL,110,3379,MASTER,98,금두더지
2042,465,1104,NULL,109,3838,MASTER,1131,TakeMeWithYou
2043,153,872,NULL,109,4783,MASTER,963,bieyinan
2044,114,674,NULL,109,4840,MASTER,690,nmw
2045,380,601,NULL,109,4832,MASTER,654,HLEGYOVY
2046,222,350,NULL,109,3790,MASTER,413,령도자전우치
2047,86,285,NULL,109,904,MASTER,318,매우화가난사슴
2048,320,202,NULL,109,601,MASTER,225,명부마도의서
2049,7,70,NULL,109,1590,MASTER,139,KXLKXLK
2050,218,676,NULL,108,4787,MASTER,722,JamDDing2
2051,101,503,NULL,108,4783,MASTER,589,qianwanliqi
2052,110,443,NULL,108,4795,MASTER,510,해피개임
2053,83,338,NULL,108,907,MASTER,402,너의곁에갈게
2054,188,384,NULL,108,3592,MASTER,402,qkrtjdals123
2055,165,370,NULL,108,4492,MASTER,376,shameiyouzi
2056,68,234,NULL,108,4781,MASTER,316,happpyboy
2057,71,196,NULL,108,4663,MASTER,278,다드루와내패기
2058,562,810,NULL,107,4631,MASTER,824,DWGBervL
2059,504,531,NULL,107,786,MASTER,578,악질도구
2060,108,506,NULL,107,7,MASTER,553,빵죄
2061,188,460,NULL,107,3879,MASTER,486,돼지고기어때
2062,120,408,NULL,107,870,MASTER,438,세상의끝에홀로
2063,96,383,NULL,107,29,MASTER,436,주식하는사람
2064,163,365,NULL,107,3879,MASTER,380,부탁드림니다
2065,219,344,NULL,107,502,MASTER,368,JG001
2066,107,278,NULL,107,4,MASTER,307,누누슴
2067,103,264,NULL,107,4655,MASTER,287,assassinqqkok01
2068,231,211,NULL,107,4556,MASTER,236,드우
2069,170,181,NULL,107,3804,MASTER,226,그저희망
2070,218,193,NULL,107,4652,MASTER,212,ihateu1
2071,410,1235,NULL,106,4815,MASTER,1274,안대회
2072,124,709,NULL,106,4779,MASTER,778,Jok3rHan
2073,375,723,NULL,106,4568,MASTER,725,ShadowLucid
2074,93,425,NULL,106,4568,MASTER,513,코코넛
2075,248,432,NULL,106,4400,MASTER,422,wktlsrka
2076,91,338,NULL,106,4533,MASTER,416,혜미누나이쁘다
2077,155,309,NULL,106,4832,MASTER,338,happygame26
2078,136,267,NULL,106,4832,MASTER,282,다시했어요
2079,162,44,NULL,106,4378,MASTER,69,muldamulda
2080,217,34,NULL,106,4804,MASTER,56,TobyDreamditch
2081,552,973,NULL,105,23,MASTER,1003,크린손
2082,326,669,NULL,105,4197,MASTER,702,요도철쇄아
2083,391,651,NULL,105,4071,MASTER,666,il1il1ii1
2084,291,554,NULL,105,4815,MASTER,630,어뭐할까
2085,95,428,NULL,105,4832,MASTER,506,이실력에잠이안와
2086,177,358,NULL,105,934,MASTER,393,tinychild
2087,122,306,NULL,105,4,MASTER,334,무헌이
2088,85,124,NULL,105,4658,MASTER,187,프로젝트이명자
2089,49,68,NULL,105,23,MASTER,143,VFI
2090,73,13,NULL,105,4456,MASTER,31,Kk0ma99
2091,485,974,NULL,104,4803,MASTER,992,FoxBNeulu
2092,318,663,NULL,104,4690,MASTER,673,코쯔왕커
2093,135,201,NULL,104,4027,MASTER,250,milgnon
2094,384,1013,NULL,103,4832,MASTER,1029,구이신
2095,126,604,NULL,103,4540,MASTER,685,dominant0
2096,138,236,NULL,103,23,MASTER,244,일도동
2097,389,1218,NULL,102,4026,MASTER,1222,박정하
2098,98,494,NULL,102,4553,MASTER,601,XQDXQDXQD
2099,272,516,NULL,102,3157,MASTER,542,InoVillas
2100,208,534,NULL,102,4833,MASTER,542,마타아시타
2101,109,491,NULL,102,3797,MASTER,525,겸손하면복이온다
2102,150,348,NULL,102,4746,MASTER,394,솔우아
2103,76,161,NULL,102,4409,MASTER,254,빙코
2104,77,130,NULL,102,939,MASTER,236,RangwoADC
2105,178,202,NULL,102,4552,MASTER,216,삶을이어나갈용기
2106,89,125,NULL,102,4655,MASTER,185,호먐밍
2107,91,132,NULL,102,4078,MASTER,151,하운호
2108,160,14,NULL,102,3868,MASTER,99,Rica
2109,292,1219,NULL,101,4490,MASTER,1210,ZUyzli
2110,251,1014,NULL,101,4561,MASTER,1049,바텀의침착한사자
2111,419,904,NULL,101,3795,MASTER,914,키173cm체중42kg
2112,126,503,NULL,101,932,MASTER,513,Wyvern
2113,70,234,NULL,101,3838,MASTER,320,koushiyu
2114,278,278,NULL,101,4665,MASTER,307,JeongHyeok
2115,74,214,NULL,101,3175,MASTER,304,이동하1
2116,79,183,NULL,101,26,MASTER,237,SayJax
2117,57,118,NULL,101,4655,MASTER,213,Pullbae
2118,430,1459,NULL,100,4213,MASTER,1456,모자란소년
2119,97,384,NULL,100,4,MASTER,457,AFTV원딜하는넹이
