rno,level,lose,point,profileIconId,summonerName,tier,win
414,67,152,712,3804,Witch,GRANDMASTER,215
415,356,505,711,4025,FAMla,GRANDMASTER,528
416,383,183,710,4762,HUYATVRamca,GRANDMASTER,245
417,220,960,709,7,분열하다,GRANDMASTER,987
418,451,889,709,4756,ThallahT,GRANDMASTER,871
419,292,249,709,3584,vvi2,GRANDMASTER,296
420,161,897,708,4279,이기다wzxy,GRANDMASTER,978
421,120,665,708,4786,개미이가검다,GRANDMASTER,753
422,273,422,708,1387,KTBSUP,GRANDMASTER,472
423,193,388,708,4707,baddddd,GRANDMASTER,424
424,432,848,706,4027,SPKingdom,GRANDMASTER,895
425,139,728,706,4661,kuaiz1zzz,GRANDMASTER,848
426,215,346,705,3478,음봉면덕지리,GRANDMASTER,390
427,447,960,703,4592,cexk1lng,GRANDMASTER,988
428,297,456,703,4777,DYNChelly,GRANDMASTER,488
429,261,438,702,4079,바텀권위자,GRANDMASTER,478
430,480,571,701,4817,eren헌터,GRANDMASTER,600
431,437,444,701,3785,cuxinchaoren,GRANDMASTER,486
432,90,334,701,26,카림몬,GRANDMASTER,443
433,81,211,701,4568,아무도날모를걸,GRANDMASTER,371
434,206,1167,700,4490,이를구해주세요,GRANDMASTER,1225
435,453,994,700,1,간다라쿤다,GRANDMASTER,1056
436,236,726,700,4779,Islonely123,GRANDMASTER,776
437,150,511,700,4779,juggapimsorry,GRANDMASTER,518
438,323,751,699,4629,DWGDeryI,GRANDMASTER,791
439,66,240,698,29,JD황제,GRANDMASTER,295
440,67,193,697,4758,kkelin,GRANDMASTER,303
441,278,1376,695,4832,lynlyneve,GRANDMASTER,1403
442,236,741,695,4560,way223,GRANDMASTER,773
443,190,572,694,4794,adiamond,GRANDMASTER,620
444,125,598,691,3840,AFBurry,GRANDMASTER,725
445,210,549,690,3231,SANDBOXHowling,GRANDMASTER,589
446,236,423,690,1160,바보상단,GRANDMASTER,461
447,242,765,689,4835,DYNFIESTA,GRANDMASTER,796
448,179,759,688,21,chiniuwa,GRANDMASTER,803
449,440,681,687,23,헤돈,GRANDMASTER,720
450,214,469,686,4561,모르겠어요,GRANDMASTER,473
451,290,235,686,4755,코태,GRANDMASTER,231
452,273,360,683,4090,RiHoo,GRANDMASTER,530
453,201,1196,682,4082,SANDBOXGeumgo,GRANDMASTER,1234
454,171,1024,682,4554,전상득,GRANDMASTER,1111
455,497,591,681,4558,트위치김수당,GRANDMASTER,625
456,180,103,681,4832,MIDKlNG,GRANDMASTER,149
457,261,725,680,7,StarSpring2,GRANDMASTER,762
458,417,643,680,4794,FAFocus,GRANDMASTER,715
459,229,278,680,4816,역잔,GRANDMASTER,304
460,387,1284,679,4572,BRB갱남,GRANDMASTER,1308
461,377,267,678,4854,고춧가루짜장면,GRANDMASTER,316
462,197,416,677,4022,수고했다시간의숲,GRANDMASTER,455
463,152,538,676,3839,탑나라룰루공주,GRANDMASTER,598
464,176,359,676,4570,아라면,GRANDMASTER,419
465,73,189,676,16,교잘도,GRANDMASTER,307
466,115,112,676,4450,세베프,GRANDMASTER,168
467,400,1393,674,4223,떠돌이아이,GRANDMASTER,1423
468,66,191,674,4533,aozhizhuiliezhe,GRANDMASTER,272
469,84,193,674,4781,달카,GRANDMASTER,266
470,198,600,673,3221,NoPatience,GRANDMASTER,637
471,501,1245,672,4832,위기를또다른기회,GRANDMASTER,1241
472,493,1053,671,4760,달성서씨서예성,GRANDMASTER,1085
473,173,877,671,4638,SAUC,GRANDMASTER,926
474,272,174,670,1167,나는개선할것이다,GRANDMASTER,246
475,424,594,669,4568,질듯,GRANDMASTER,637
476,60,115,669,4795,BossBaby2,GRANDMASTER,207
477,356,1448,668,4764,purplepurple1,GRANDMASTER,1457
478,321,470,667,4151,FALonely,GRANDMASTER,507
479,56,133,667,4073,ZJLTTKX,GRANDMASTER,220
480,184,444,666,4666,베인장인요맨,GRANDMASTER,494
481,169,405,666,7,wuwuwubiemawo,GRANDMASTER,449
