rno,level,lose,name,point,profileIconId,tier,win,summonerName
96,489,687,NULL,1040,4779,CHALLENGER,747,sheidodabuguo
97,112,424,NULL,1040,7,CHALLENGER,529,zyb
98,284,1125,NULL,1037,3839,CHALLENGER,1185,탑혜지
99,123,611,NULL,1036,6,CHALLENGER,734,ShadowPatch
100,315,325,NULL,1032,20,CHALLENGER,398,FALight
101,73,223,NULL,1029,4492,CHALLENGER,309,boom1boom
102,313,694,NULL,1025,4755,CHALLENGER,756,엘림
103,96,289,NULL,1025,3018,CHALLENGER,430,관상을본다
104,488,1240,NULL,1024,4780,CHALLENGER,1283,epohon
105,104,382,NULL,1022,4832,CHALLENGER,500,DWGChasy
106,182,778,NULL,1018,23,CHALLENGER,865,IdontknowZZ
107,116,89,NULL,1018,1388,CHALLENGER,160,Xx최강문검수xX
108,162,618,NULL,1017,3151,CHALLENGER,691,여름별미콩국수
109,272,576,NULL,1016,3804,CHALLENGER,663,타잔
110,214,474,NULL,1016,4568,CHALLENGER,533,concesslon
111,365,474,NULL,1015,4780,CHALLENGER,551,FA레이닝
112,277,483,NULL,1014,6,CHALLENGER,555,금현성2
113,515,981,NULL,1012,4658,CHALLENGER,1066,미쳐놈
114,287,802,NULL,1012,4653,CHALLENGER,850,zywbzdcs
115,102,265,NULL,1012,4756,CHALLENGER,377,다드몬아이다
116,410,716,NULL,1009,3838,CHALLENGER,767,photic12345
117,138,653,NULL,1008,4779,CHALLENGER,774,볼붕이1
118,79,120,NULL,1008,3584,CHALLENGER,223,스카이시현
119,324,985,NULL,1007,4087,CHALLENGER,1056,mmqm
120,140,538,NULL,1007,4631,CHALLENGER,605,유리Yur1
121,402,352,NULL,1007,4561,CHALLENGER,375,캐인
122,289,256,NULL,1006,20,CHALLENGER,310,롤오브레전드1234
123,125,337,NULL,1005,18,CHALLENGER,466,Arrowlol
124,311,595,NULL,1003,4419,CHALLENGER,657,haoyunbaobei
125,361,943,NULL,1002,3846,CHALLENGER,1000,whispersnow
126,3,512,NULL,1002,3546,CHALLENGER,565,사용수
127,134,645,NULL,1001,3838,CHALLENGER,721,stableman1
128,83,252,NULL,999,4832,CHALLENGER,401,TTzhao1952222922
129,273,402,NULL,998,4779,CHALLENGER,417,군대괜히미룬사람
130,287,415,NULL,997,3495,CHALLENGER,486,FAGGul
131,175,907,NULL,996,4425,CHALLENGER,986,따봉람머스
132,134,609,NULL,996,23,CHALLENGER,688,esortazione
133,206,1098,NULL,995,4835,CHALLENGER,1248,HUYATVCid
134,342,589,NULL,991,4833,CHALLENGER,632,SANDBOXRoute
135,149,846,NULL,989,23,CHALLENGER,924,GLZassassin
136,543,1011,NULL,986,933,CHALLENGER,1059,jkjkjkjkk
137,221,261,NULL,985,1603,CHALLENGER,326,SeeuAG
138,239,874,NULL,984,8,CHALLENGER,941,돌덩이의꿈
139,143,475,NULL,984,4568,CHALLENGER,526,xiaocaobao9
140,320,532,NULL,979,535,CHALLENGER,581,강꼬릴
141,239,320,NULL,975,4533,CHALLENGER,379,피즈조이
142,47,74,NULL,975,4778,CHALLENGER,130,TLT4CTICAL
143,426,794,NULL,971,9,CHALLENGER,853,이도류
144,290,584,NULL,971,4832,CHALLENGER,642,weibiusamD
145,142,718,NULL,969,4030,CHALLENGER,763,BeTnT1
146,138,798,NULL,968,29,CHALLENGER,856,MapleStory275LV
147,277,773,NULL,967,18,CHALLENGER,835,arrowIoI
148,174,519,NULL,967,4786,CHALLENGER,584,GGGori
149,247,227,NULL,967,4555,CHALLENGER,300,DRX게르세르끼
150,416,1028,NULL,962,4817,CHALLENGER,1104,이차가식기전에
151,114,418,NULL,957,4285,CHALLENGER,489,고파우개미
152,374,719,NULL,954,20,CHALLENGER,787,HLEDeft1
153,83,300,NULL,952,4655,CHALLENGER,369,AnnieLeonhar
154,234,301,NULL,952,3795,CHALLENGER,360,SweetyPretty
155,222,231,NULL,952,4491,CHALLENGER,233,Destiny
156,371,511,NULL,951,939,CHALLENGER,575,qwer112233
157,289,263,NULL,951,7,CHALLENGER,321,dagongren1
158,265,557,NULL,947,3613,CHALLENGER,609,모두다함께차차차
159,381,581,NULL,944,6,CHALLENGER,621,FADove
160,299,503,NULL,944,4832,CHALLENGER,568,Blank
161,346,769,NULL,943,4653,CHALLENGER,822,미북이
162,235,282,NULL,943,693,CHALLENGER,348,노량엄순신
163,223,1555,NULL,941,4568,CHALLENGER,1604,못난놈들1
164,198,791,NULL,940,4786,CHALLENGER,840,순진무구하다
165,205,732,NULL,939,4378,CHALLENGER,804,HSHTM
166,296,581,NULL,939,4842,CHALLENGER,650,supupsupupsupup
167,163,449,NULL,939,1626,CHALLENGER,560,zhu666
168,468,1111,NULL,937,4835,CHALLENGER,1167,KTAT0P
169,415,1070,NULL,935,4647,CHALLENGER,1122,clear77
170,79,266,NULL,935,3591,CHALLENGER,392,xFury
171,164,320,NULL,934,28,CHALLENGER,371,DRXBAO
172,500,692,NULL,931,4835,CHALLENGER,738,T1Keria
173,433,564,NULL,930,4025,CHALLENGER,624,FAMlnit
174,216,969,NULL,929,4832,CHALLENGER,1075,Starry0v0
175,506,580,NULL,927,4160,CHALLENGER,637,pingsiba
176,205,392,NULL,923,1385,CHALLENGER,476,Iovegalio
177,130,611,NULL,922,7,CHALLENGER,666,brogame
178,161,306,NULL,922,4827,CHALLENGER,378,Lpc1
179,186,804,NULL,921,4463,CHALLENGER,881,Starryovo
180,278,480,NULL,921,4568,CHALLENGER,540,익산누누
181,254,694,NULL,919,22,CHALLENGER,785,OMGqx1328035572
182,304,487,NULL,919,3354,CHALLENGER,546,루시안조이밴탈론
183,340,473,NULL,919,4406,CHALLENGER,520,쿠자니
184,172,711,NULL,918,7,CHALLENGER,787,jiozz
185,312,710,NULL,918,3864,CHALLENGER,767,T1Closer
186,169,1111,NULL,917,4661,CHALLENGER,1212,Hegzzz
187,416,665,NULL,917,4698,CHALLENGER,724,아임쏘쏘리
188,87,335,NULL,916,4631,CHALLENGER,449,happygalio
189,204,548,NULL,915,4203,CHALLENGER,615,OMGBoring
190,158,882,NULL,913,4783,CHALLENGER,963,YSYZ
191,96,414,NULL,913,4794,CHALLENGER,471,ATRl
192,402,1058,NULL,910,3462,CHALLENGER,1101,FALast
193,437,614,NULL,909,4748,CHALLENGER,689,Zaovvunongren
194,242,939,NULL,908,4568,CHALLENGER,998,YeZhuoYue
195,374,579,NULL,907,3854,CHALLENGER,637,읽씹맨
196,354,215,NULL,907,4817,CHALLENGER,288,직스좀믿어줘
197,454,787,NULL,906,3953,CHALLENGER,813,Naehyun
198,87,213,NULL,904,3155,CHALLENGER,323,YoneKing
199,381,1058,NULL,901,3788,CHALLENGER,1092,핑찍히면좋아죽음
200,301,896,NULL,901,7,CHALLENGER,948,KTH4rp
201,213,284,NULL,901,4025,CHALLENGER,337,ad20
202,163,287,NULL,900,3348,CHALLENGER,340,FASenan
203,183,412,NULL,898,4655,CHALLENGER,457,kratsaira
204,161,372,NULL,898,4844,CHALLENGER,429,야핑좀꺼줄래
205,124,609,NULL,895,4637,CHALLENGER,723,knightzz
206,268,487,NULL,895,4832,CHALLENGER,533,정훈이의모험
207,218,82,NULL,895,4626,CHALLENGER,161,Iava
208,186,256,NULL,894,4249,CHALLENGER,308,SSUNSSUN
209,93,146,NULL,894,3791,CHALLENGER,222,Letmesup
210,406,437,NULL,893,4786,CHALLENGER,488,김도칠
211,243,402,NULL,892,4780,CHALLENGER,450,FAWizer
212,388,321,NULL,891,3495,CHALLENGER,352,칼과창방패
213,213,298,NULL,888,4802,CHALLENGER,345,메가우기
214,264,989,NULL,887,4027,CHALLENGER,1066,Uneasy11
215,93,217,NULL,887,3584,CHALLENGER,329,wehui
216,77,256,NULL,886,27,CHALLENGER,364,fA죽어도솔랭
217,546,1429,NULL,885,4777,CHALLENGER,1480,BJ갈배
218,218,301,NULL,885,4817,CHALLENGER,340,9밍
219,77,257,NULL,885,29,CHALLENGER,339,nine3
220,373,224,NULL,885,744,CHALLENGER,273,Echesospiri
221,365,663,NULL,884,749,CHALLENGER,706,CCrazy
222,105,185,NULL,882,3378,CHALLENGER,251,홍콩반점매니아
223,224,1506,NULL,881,3458,CHALLENGER,1620,sofm2
224,194,851,NULL,881,22,CHALLENGER,925,Re0start
225,478,536,NULL,881,3160,CHALLENGER,580,튀자튀자아
226,117,366,NULL,880,29,CHALLENGER,440,kzxuiuy
227,98,116,NULL,880,4674,CHALLENGER,181,mogubaby
228,400,539,NULL,879,1439,CHALLENGER,586,DoRun
229,358,431,NULL,879,4804,CHALLENGER,486,챌린저땅우양
230,262,467,NULL,878,1625,CHALLENGER,518,크세로
231,132,299,NULL,877,4690,CHALLENGER,354,말을잘못하는사람
232,280,805,NULL,876,4626,CHALLENGER,866,7777케이
233,334,593,NULL,876,4561,CHALLENGER,645,WhiteCanvas
234,463,389,NULL,876,4533,CHALLENGER,440,하이드
235,53,118,NULL,876,2074,CHALLENGER,166,C9BLAB3R
236,256,695,NULL,875,4817,CHALLENGER,749,ecnahC
237,271,535,NULL,875,1482,CHALLENGER,632,KTUcal
238,320,578,NULL,875,4817,CHALLENGER,630,마지막1년
239,341,481,NULL,875,4658,CHALLENGER,531,난마
240,223,544,NULL,874,1116,CHALLENGER,632,Swordart777
241,116,92,NULL,874,1160,CHALLENGER,150,군밤군밤
242,103,484,NULL,873,4561,CHALLENGER,594,도넛먹고싶다i
243,269,398,NULL,873,4832,CHALLENGER,436,Oct0ber
244,93,283,NULL,873,4834,CHALLENGER,413,yinyizaimaren
245,107,150,NULL,873,4817,CHALLENGER,203,테디스틱
246,150,74,NULL,873,3587,CHALLENGER,176,순의
247,248,588,NULL,872,4764,CHALLENGER,640,HLECaD
248,200,517,NULL,872,983,CHALLENGER,573,섶훈
249,101,270,NULL,872,4795,CHALLENGER,379,두꺼비압수
250,184,238,NULL,872,4707,CHALLENGER,356,바쿠야
251,97,176,NULL,872,4762,CHALLENGER,248,Bigbuttocks
252,149,222,NULL,872,564,CHALLENGER,230,Axiyo
253,122,151,NULL,872,3804,CHALLENGER,218,Demon
254,341,774,NULL,871,4763,CHALLENGER,826,군빵맨
255,285,371,NULL,871,4817,CHALLENGER,393,ShadowSupreme
256,94,229,NULL,871,4817,CHALLENGER,341,ehfdkdhsakql
257,206,281,NULL,871,4840,CHALLENGER,312,Sangchu
258,161,165,NULL,871,3879,CHALLENGER,222,쿠쟈니
259,239,591,NULL,870,4100,CHALLENGER,646,강주연
260,195,418,NULL,870,4355,CHALLENGER,472,W1zer
