rno,level,lose,name,point,profileIconId,tier,win,summonerName
3001,82,61,NULL,17,3867,MASTER,82,BaeMe1
3002,473,980,NULL,16,2076,MASTER,989,병짱구리
3003,137,779,NULL,16,4629,MASTER,869,평범한숟가락
3004,174,766,NULL,16,4815,MASTER,826,원딜로마스터찍음
3005,118,606,NULL,16,3797,MASTER,693,sleepjoker
3006,501,687,NULL,16,1384,MASTER,684,사랑은뜨겁게
3007,133,561,NULL,16,3041,MASTER,634,T1Sinner
3008,407,429,NULL,16,4838,MASTER,502,고별
3009,214,462,NULL,16,4803,MASTER,467,중꾹인
3010,91,317,NULL,16,4787,MASTER,398,빵테온의창
3011,323,370,NULL,16,4209,MASTER,391,GoDo
3012,333,350,NULL,16,3180,MASTER,382,carrotcake
3013,137,250,NULL,16,4653,MASTER,299,망나니나침반
3014,82,235,NULL,16,1382,MASTER,253,KangyaBeiguoBa
3015,288,238,NULL,16,4804,MASTER,253,이남규
3016,279,158,NULL,16,1382,MASTER,241,브라자끄네끼툭
3017,263,184,NULL,16,4829,MASTER,215,질리엌
3018,414,162,NULL,16,4834,MASTER,212,맨날죽는누누
3019,130,206,NULL,16,4832,MASTER,184,율천댕
3020,72,124,NULL,16,4834,MASTER,182,La2per
3021,160,93,NULL,16,4588,MASTER,171,넓을호물가수
3022,88,126,NULL,16,4832,MASTER,161,puss1
3023,375,141,NULL,16,3798,MASTER,155,AfreecaSangho
3024,47,88,NULL,16,7,MASTER,147,xingerandwolf
3025,236,89,NULL,16,7,MASTER,109,GroupieLove
3026,606,1510,NULL,15,4832,MASTER,1518,Menhoziroshipmen
3027,513,1128,NULL,15,4834,MASTER,1151,Dante01
3028,313,818,NULL,15,4576,MASTER,867,BrokeVoice
3029,541,831,NULL,15,3180,MASTER,853,간디도롤하면폭력
3030,129,632,NULL,15,4815,MASTER,719,유미장인친추좀
3031,317,661,NULL,15,4027,MASTER,678,나한테만
3032,240,402,NULL,15,980,MASTER,435,겨드랑왕자
3033,336,373,NULL,15,4815,MASTER,418,신정고김우빈
3034,86,357,NULL,15,4706,MASTER,414,더잘할께요
3035,169,403,NULL,15,4616,MASTER,414,미니기미니
3036,89,400,NULL,15,4849,MASTER,409,김선호1
