rno,level,lose,name,point,profileIconId,tier,win,summonerName
4001,112,265,NULL,0,29,MASTER,284,시계선생님
4002,128,267,NULL,0,3228,MASTER,284,기찬캐좀하지마
4003,193,256,NULL,0,4230,MASTER,283,WICK99
4004,168,261,NULL,0,4561,MASTER,283,멍뭉얌
4005,301,276,NULL,0,7,MASTER,283,허콩은쓰레기
4006,74,208,NULL,0,4832,MASTER,282,왕쟈님
4007,120,247,NULL,0,3836,MASTER,282,lovepart1
4008,359,256,NULL,0,4654,MASTER,282,성준S2
4009,389,271,NULL,0,3791,MASTER,282,다첼
4010,113,241,NULL,0,29,MASTER,281,표흐일
4011,131,246,NULL,0,4815,MASTER,281,바랑드사이다
4012,102,234,NULL,0,984,MASTER,280,앗저것은
4013,220,271,NULL,0,3379,MASTER,279,igoN
4014,141,243,NULL,0,4645,MASTER,278,외로움도두려워요
4015,165,257,NULL,0,3175,MASTER,278,태훈정
4016,96,195,NULL,0,4835,MASTER,276,나테디아니다
4017,130,144,NULL,0,4782,MASTER,275,Melon멜론바
4018,79,207,NULL,0,3545,MASTER,275,SexyBeat
4019,165,239,NULL,0,1625,MASTER,274,한숨쉬는진이
4020,85,212,NULL,0,4633,MASTER,273,baiyeUPUP
4021,148,253,NULL,0,4027,MASTER,273,김꼬뚜1
4022,388,191,NULL,0,4815,MASTER,272,도몬
4023,208,225,NULL,0,4815,MASTER,272,뱅우기
4024,199,229,NULL,0,4815,MASTER,272,IlIlIllllIllIlI
4025,193,234,NULL,0,3791,MASTER,272,하급도깨비
4026,593,237,NULL,0,4832,MASTER,272,러브잇
4027,156,247,NULL,0,4561,MASTER,272,김정고무신
4028,163,256,NULL,0,4759,MASTER,272,Beenyou
4029,164,262,NULL,0,7,MASTER,272,ensure
4030,64,177,NULL,0,23,MASTER,271,장봄준fan
4031,72,214,NULL,0,8,MASTER,271,LimGeunWoo
4032,183,229,NULL,0,4815,MASTER,271,염장
4033,131,235,NULL,0,4802,MASTER,270,gil2boy
4034,292,263,NULL,0,4491,MASTER,270,벽장속하마
4035,94,183,NULL,0,4787,MASTER,269,햄스터는최고다
4036,187,229,NULL,0,673,MASTER,269,앱솔랩스핼버드
4037,164,234,NULL,0,4426,MASTER,269,이걸조진다고
4038,234,259,NULL,0,4760,MASTER,269,주사위의모험
4039,306,230,NULL,0,4815,MASTER,268,말은언제나쉽지
4040,119,222,NULL,0,4418,MASTER,266,채빵
4041,216,248,NULL,0,3956,MASTER,266,IShapeofYou
4042,200,269,NULL,0,539,MASTER,266,비취괴수
4043,61,188,NULL,0,4660,MASTER,264,yqytianxiadiyi
4044,65,200,NULL,0,4661,MASTER,264,고삼단비김슬기
4045,274,211,NULL,0,4815,MASTER,264,Gourmet7O7
4046,272,222,NULL,0,1625,MASTER,263,야생초코칩
4047,319,231,NULL,0,4804,MASTER,263,Takepartin
4048,257,250,NULL,0,4834,MASTER,263,Wek
4049,179,156,NULL,0,4763,MASTER,262,kledzzz
4050,237,259,NULL,0,7,MASTER,262,갬성
4051,146,201,NULL,0,4793,MASTER,261,탑혜지가요
4052,159,214,NULL,0,4657,MASTER,261,Sxna
4053,136,248,NULL,0,17,MASTER,261,조토민
4054,154,249,NULL,0,16,MASTER,261,차돌차돌
4055,529,285,NULL,0,4451,MASTER,261,SibasakiRoka
4056,80,175,NULL,0,4835,MASTER,260,경북고박종후
4057,141,191,NULL,0,3797,MASTER,260,사사로운감정
4058,115,215,NULL,0,21,MASTER,260,뮤박직스
4059,155,223,NULL,0,4815,MASTER,260,정신차리자선규야
4060,74,201,NULL,0,1114,MASTER,259,MewMewMewMew
4061,150,236,NULL,0,4815,MASTER,259,한치77
4062,6,190,NULL,0,29,MASTER,258,유설화
4063,483,197,NULL,0,4706,MASTER,258,칼리
4064,67,159,NULL,0,4568,MASTER,256,식품
4065,248,242,NULL,0,4568,MASTER,256,Shye
4066,71,178,NULL,0,3545,MASTER,255,트위치기여워
4067,90,182,NULL,0,4569,MASTER,255,상체게임킹텀뽑기
4068,97,213,NULL,0,3587,MASTER,255,totototototo
4069,394,203,NULL,0,4631,MASTER,254,호화
