rno,level,lose,name,point,profileIconId,tier,win,summonerName
1001,135,418,NULL,416,4764,MASTER,462,아무말없이겜함
1002,92,153,NULL,416,29,MASTER,259,미쳐버린오른
1003,92,175,NULL,415,4826,MASTER,323,짱해커
1004,132,187,NULL,415,23,MASTER,240,suixingerwei
1005,314,156,NULL,415,4832,MASTER,189,치킨요원
1006,231,377,NULL,414,4838,MASTER,405,Secret
1007,76,37,NULL,414,4395,MASTER,85,신격
1008,477,646,NULL,413,4561,MASTER,688,FAHolder
1009,98,246,NULL,413,25,MASTER,280,늑대는굶주리다
1010,167,748,NULL,412,3797,MASTER,783,yuanmmmmmm
1011,86,313,NULL,412,4833,MASTER,403,lnlnmoa
1012,52,262,NULL,412,4780,MASTER,289,김무진
1013,119,147,NULL,412,3879,MASTER,187,물에젖은장작
1014,367,520,NULL,411,4673,MASTER,548,섹지v
1015,380,468,NULL,411,3860,MASTER,517,ShadowNia
1016,164,1010,NULL,410,4379,MASTER,1095,애들아시끄러워
1017,530,985,NULL,410,7,MASTER,1006,그대는어떤가요
1018,135,522,NULL,410,4784,MASTER,548,BzhanZhaozhao
1019,69,227,NULL,410,4305,MASTER,309,SANDBOXKingKong
1020,61,177,NULL,410,4780,MASTER,278,worstjug
1021,148,341,NULL,408,4568,MASTER,370,버기해적단버기
1022,311,1870,NULL,407,4579,MASTER,1901,liangzichen
1023,487,831,NULL,407,4832,MASTER,853,조금만잘래요
1024,146,766,NULL,407,4547,MASTER,844,ookii
1025,153,877,NULL,406,1114,MASTER,937,Sessh0umaru
1026,134,690,NULL,406,4780,MASTER,778,Honpi
1027,140,534,NULL,406,3458,MASTER,570,DRXS
1028,90,380,NULL,406,4655,MASTER,441,Glor1a
1029,349,985,NULL,405,980,MASTER,1018,hy2rwt
1030,249,180,NULL,405,2076,MASTER,216,우민2
1031,246,1177,NULL,404,4549,MASTER,1227,asupstar
1032,304,378,NULL,404,543,MASTER,404,미친고양이66
1033,76,223,NULL,404,4832,MASTER,335,shudazhaofeng
1034,191,1209,NULL,403,1630,MASTER,1302,zhongluguaji
1035,339,1477,NULL,401,4761,MASTER,1495,DAMOIM
1036,586,917,NULL,401,4629,MASTER,867,핫초코한입만
1037,269,271,NULL,401,1102,MASTER,302,BJ서준석사생팬
1038,236,272,NULL,401,4655,MASTER,299,HumbleIove
1039,84,222,NULL,401,4379,MASTER,266,아악머야살려줘
1040,263,816,NULL,400,3797,MASTER,854,woniu
1041,57,90,NULL,399,3546,MASTER,178,INDIVIDUALlSM
1042,108,258,NULL,395,0,MASTER,394,youarefree
1043,273,1335,NULL,394,3785,MASTER,1374,kaixinchaoren
1044,51,65,NULL,394,7,MASTER,121,Vital1
1045,123,607,NULL,393,4690,MASTER,698,TOPOTOPOTOPOTOP
1046,314,542,NULL,393,4295,MASTER,572,FAPirean
1047,86,324,NULL,391,4302,MASTER,416,keaikeai
1048,147,382,NULL,390,7,MASTER,418,J08zzx
1049,117,286,NULL,390,2073,MASTER,314,meiyoudailong
1050,174,606,NULL,389,4666,MASTER,655,난의따까리
1051,98,394,NULL,389,4561,MASTER,471,TBPTizer
1052,105,356,NULL,389,3378,MASTER,384,엔터키뽑고게임중
1053,127,393,NULL,388,4762,MASTER,436,Bushengxiu
1054,259,706,NULL,387,4561,MASTER,734,포비랑윤아랑
1055,433,401,NULL,387,4661,MASTER,411,모난뿔펨펨
1056,109,406,NULL,386,4832,MASTER,422,오렌지바람
1057,156,907,NULL,385,4779,MASTER,1001,Gongxiangxiaoju
1058,220,355,NULL,382,4427,MASTER,381,겨울지나봄이오듯
1059,486,1316,NULL,380,3838,MASTER,1319,불사신야생
1060,142,724,NULL,380,3536,MASTER,828,SKTT1M4A1CC
1061,67,257,NULL,380,6,MASTER,298,farmandscale
1062,42,46,NULL,380,4779,MASTER,105,sunxunGot
1063,275,798,NULL,379,4779,MASTER,825,mothyoi
1064,348,961,NULL,378,4154,MASTER,980,주례사는수퍼비
1065,164,241,NULL,378,23,MASTER,299,늦가을모기
1066,522,679,NULL,377,4832,MASTER,699,소병하추
1067,319,464,NULL,377,3591,MASTER,456,병권좌
1068,174,442,NULL,376,4022,MASTER,478,blackkitty2000
1069,146,293,NULL,375,4216,MASTER,324,으하핫자유다
1070,397,663,NULL,374,4780,MASTER,713,BeaGoodperson
1071,238,825,NULL,372,4764,MASTER,868,LLaG
1072,361,844,NULL,372,6,MASTER,854,suantouwangba
1073,181,816,NULL,372,2072,MASTER,844,갑각류맛있댜
1074,252,554,NULL,372,4794,MASTER,583,Madman1
1075,308,500,NULL,372,4816,MASTER,538,tkzj좋다
1076,366,310,NULL,372,4568,MASTER,331,saebyeok
1077,108,463,NULL,370,3150,MASTER,558,04Changer
1078,152,110,NULL,370,4760,MASTER,102,유리Yur3
1079,210,1456,NULL,369,4154,MASTER,1510,sbzs
1080,201,539,NULL,369,7,MASTER,579,OMGzr1328035572
1081,116,391,NULL,369,4779,MASTER,429,국산카우
1082,166,148,NULL,369,1298,MASTER,173,ililililillili
1083,397,1048,NULL,368,4075,MASTER,1050,MaRin
1084,160,696,NULL,368,4057,MASTER,724,zcsw
1085,205,995,NULL,367,4777,MASTER,1031,DYNSOL
1086,171,618,NULL,367,4021,MASTER,644,더기김경덕
1087,563,1631,NULL,366,904,MASTER,1626,HUYATVMG
1088,555,1150,NULL,366,4804,MASTER,1168,갖고싶다
1089,302,861,NULL,366,6,MASTER,858,노챗승리멘탈유지
1090,519,855,NULL,365,3839,MASTER,890,뽀허니
1091,49,88,NULL,364,29,MASTER,127,ewerewrwetrqt
1092,202,224,NULL,363,23,MASTER,266,죡같네1
1093,135,190,NULL,363,3540,MASTER,243,괴도너굴맨
1094,61,151,NULL,363,3795,MASTER,239,04년생원숭이띠
1095,169,1004,NULL,362,4568,MASTER,1110,RZqLPrLr
1096,75,210,NULL,362,3378,MASTER,241,cherish0220
1097,151,909,NULL,361,948,MASTER,940,Va1armorghuIis
1098,138,749,NULL,361,4747,MASTER,804,dfgewryfgdh
1099,219,555,NULL,361,3459,MASTER,601,생각후행동
1100,300,284,NULL,361,4778,MASTER,318,우주의룰루
1101,263,852,NULL,360,4778,MASTER,867,20020423
1102,321,596,NULL,360,4779,MASTER,640,Heart
1103,225,288,NULL,358,3879,MASTER,322,박투신
1104,108,453,NULL,357,4787,MASTER,550,adventurehunter
1105,145,96,NULL,356,1630,MASTER,131,군밤왕
1106,140,422,NULL,355,3862,MASTER,506,사하여주소서
1107,373,481,NULL,355,4832,MASTER,467,Chasy
1108,114,355,NULL,355,3928,MASTER,407,베르1
1109,204,276,NULL,355,3379,MASTER,299,미드프로지망인
1110,399,708,NULL,354,3587,MASTER,738,멍멍짹짹꽥꽥
1111,271,540,NULL,354,23,MASTER,575,GLZblackbaby
1112,154,415,NULL,354,3522,MASTER,457,laizheheren
1113,180,307,NULL,354,3608,MASTER,334,게복치숟가락
